,Identification,, Pricing ,,Product Attributes,,,,,,,,,Site Status,,Shop Segmentation,Fulfillment,,Sales Operation,,,,,,,,,,,,,
Product Name,Variant Name,SKU, Retail Price , Sale Price ,Length (in),Width (in),Foam Thickness (in),Weight,Straps, Line Length (ft) , Color , Description , Image URL ,Live on site?,Woo ID,Which Shop?,Flat Rate,Oversized?,Opening Stock,Reorder Level,Labor Cost,Inventory Valuation Method,Brand,Is Returnable Item,Variant ID,Variant Type,Taxable,Product Type,Product ID,UPC,EAN,ISBN
PilePad Mid,PilePad Mid-Black/4 ft,PPM-4F-BLA, $ 315.00 ,,48,14,2,4,4,, Black ," A versatile size to easily pad just about anything. As our hybrid pad (14” wide) Mid is easier to manage than XL, and best applied in the midship area or on smaller pilings (Hamptons boaters, we’re talking to you…).

- ""No tool"" installation with connected straps & buckles
- Beveled edges for a premium look
- Durable, UV-resistant outer shell
- Add height with Mid Links 
- Ships directly to your door
- Best Use: Mid ship pilings, thin pilings ", Mid.jpg ,TRUE,,PilePad,$25.00,Yes,14,,35,fifo,PilePad,true,2663788000013062959,inventory,true,goods,,,,
Mid Mini,Mid Mini-Black/2ft,PMM-2F-BLK, $ 165.00 ,,24,14,2,2,2,, Black ,, Mid Link.jpg ,FALSE,,PilePad,$15.00,No,7,,30,fifo,PilePad,true,2663788000013062960,inventory,true,goods,,,,
Slim,PilePad Slim-Black/4 ft,PPS-4F-BLA, $ 285.00 ,,48,7,3,3,4,, Black ,, Slim.jpg ,TRUE,,PilePad,$25.00,Yes,5,,30,fifo,PilePad,true,2663788000013062960,inventory,true,goods,,,,
PilePad XL,PilePad XL-Black/6 ft,PPX-6F-BLA, $ 580.00 , $ 550.00 ,72,27,2,8,6,, Black ," Maximum protection for minimal effort, that’s what PilePad XL is all about. XL is our widest PilePad (27”), padding every exposure point so you can dock with confidence. All PilePads include sleek straps and buckles for easy, “no toolbox installation”.

Our 6' PilePad XL kit includes: (1) PilePad XL & (1) XL Link

- ""No tool"" installation with connected straps & buckles
- 2” thick foam easily wraps piling 
- Beveled edges for a premium look
- Durable, UV-resistant outer shell
- Add height with XL Links 
- Ships directly to your door
- Best Use: Bow/entry pilings, large pilings ", XL 6.jpg ,TRUE,,PilePad,,Yes,0,,80,fifo,PilePad,true,2663788000013062959,inventory,true,goods,,,,
PilePad XL,PilePad XL-Black/8 ft,PPX-8F-BLA, $ 765.00 , $ 725.00 ,96,27,2,10,8,, Black ," Maximum protection for minimal effort, that’s what PilePad XL is all about. XL is our widest PilePad (27”), padding every exposure point so you can dock with confidence. All PilePads include sleek straps and buckles for easy, “no toolbox installation”.

Our 8' PilePad XL kit includes: (1) PilePad XL & (2) XL Links

- ""No tool"" installation with connected straps & buckles
- 2” thick foam easily wraps piling 
- Beveled edges for a premium look
- Durable, UV-resistant outer shell
- Add height with XL Links 
- Ships directly to your door
- Best Use: Bow/entry pilings, large pilings ", XL 8.jpg ,TRUE,,PilePad,,Yes,0,,115,fifo,PilePad,true,2663788000013062959,inventory,true,goods,,,,
PilePad XL,PilePad XL-Black/10 ft,PPX-10F-BLA, $ 950.00 , $ 900.00 ,120,27,2,12,10,, Black ," Maximum protection for minimal effort, that’s what PilePad XL is all about. XL is our widest PilePad (27”), padding every exposure point so you can dock with confidence. All PilePads include sleek straps and buckles for easy, “no toolbox installation”.

Our 10' PilePad XL kit includes: (1) PilePad XL & (3) XL Links

- ""No tool"" installation with connected straps & buckles
- 2” thick foam easily wraps piling 
- Beveled edges for a premium look
- Durable, UV-resistant outer shell
- Add height with XL Links 
- Ships directly to your door
- Best Use: Bow/entry pilings, large pilings ", XL 10.jpg ,TRUE,,PilePad,,Yes,0,,150,fifo,PilePad,true,2663788000013062959,inventory,true,goods,,,,
XL Link,XL Link-Black/2 ft,LNK-XL-2F-BLA, $ 185.00 ,,24,27,2,2,2,, Black ," Add XL Links to any XL system to extend your padded protection area. Links connect via a hidden zipper system.

- ""No tool"" installation with connected straps & buckles
- 2” thick foam easily wraps piling 
- Beveled edges for a premium look
- Durable, UV-resistant outer shell
- Ships directly to your door
- Best Use: extending XL pads for more height 
 ", XL Link.jpg ,TRUE,,PilePad,$15.00,No,0,,35,fifo,PilePad,true,2663788000013062959,inventory,true,goods,,,,
PilePad Mid,PilePad Mid-Black/6 ft,PPM-6F-BLA, $ 480.00 , $ 455.00 ,72,14,2,5,6,, Black ," A versatile size to easily pad just about anything. As our hybrid pad (14” wide) Mid is easier to manage than XL, and best applied in the midship area or on smaller pilings (Hamptons boaters, we’re talking to you…).

Our 6' PilePad Mid kit includes: (1) PilePad Mid & (1) Mid Link

- ""No tool"" installation with connected straps & buckles
- Beveled edges for a premium look
- Durable, UV-resistant outer shell
- Add height with Mid Links 
- Ships directly to your door
- Best Use: Mid ship pilings, thin pilings ", Mid 6.jpg ,TRUE,,PilePad,$25.00,Yes,0,,,fifo,PilePad,true,2663788000013062959,inventory,true,goods,,,,
PilePad Mid,PilePad Mid-Black/8 ft,PPM-8F-BLA, $ 645.00 , $ 610.00 ,96,14,2,6,8,, Black ," A versatile size to easily pad just about anything. As our hybrid pad (14” wide) Mid is easier to manage than XL, and best applied in the midship area or on smaller pilings (Hamptons boaters, we’re talking to you…).

Our 8' PilePad Mid kit includes: (1) PilePad Mid & (2) Mid Links

- ""No tool"" installation with connected straps & buckles
- Beveled edges for a premium look
- Durable, UV-resistant outer shell
- Add height with Mid Links 
- Ships directly to your door
- Best Use: Mid ship pilings, thin pilings ", Mid 8.jpg ,TRUE,,PilePad,,Yes,0,,,fifo,PilePad,true,2663788000013062959,inventory,true,goods,,,,
PilePad Mid,PilePad Mid-Black/10 ft,PPM-10F-BLA, $ 810.00 , $ 765.00 ,120,14,2,7,10,, Black ," A versatile size to easily pad just about anything. As our hybrid pad (14” wide) Mid is easier to manage than XL, and best applied in the midship area or on smaller pilings (Hamptons boaters, we’re talking to you…).

Our 10' PilePad Mid kit includes: (1) PilePad Mid & (3) Mid Links

- ""No tool"" installation with connected straps & buckles
- Beveled edges for a premium look
- Durable, UV-resistant outer shell
- Add height with Mid Links 
- Ships directly to your door
- Best Use: Mid ship pilings, thin pilings ", Mid 10.jpg ,TRUE,,PilePad,,Yes,0,,,fifo,PilePad,true,2663788000013062959,inventory,true,goods,,,,
