,Identification,, Pricing ,,Product Attributes,,,,,,,,,Site Status,,Shop Segmentation,Fulfillment,,Sales Operation,,,,,,,,,,,,,
Product Name,Variant Name,SKU, Retail Price , Sale Price ,Length (in),Width (in),Foam Thickness (in),Weight,Straps, Line Length (ft) , Color , Description , Image URL ,Live on site?,Woo ID,Which Shop?,Flat Rate,Oversized?,Opening Stock,Reorder Level,Labor Cost,Inventory Valuation Method,Brand,Is Returnable Item,Variant ID,Variant Type,Taxable,Product Type,Product ID,UPC,EAN,ISBN
PolePad,PolePad-Black/2.5 in/174 in,POL-174-2.5-BLA, $ 244.21 , $ 219.79 ,174,2.5,,5.6,,, Black ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056193,inventory,true,goods,,,,
PolePad,PolePad-Black/2.5 in/180 in,POL-180-2.5-BLA, $ 247.66 , $ 222.89 ,180,2.5,,5.8,,, Black ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056195,inventory,true,goods,,,,
PolePad,PolePad-Black/2.5 in/186 in,POL-186-2.5-BLA, $ 251.11 , $ 226.00 ,186,2.5,,6,,, Black ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056197,inventory,true,goods,,,,
PolePad,PolePad-Black/2.5 in/192 in,POL-192-2.5-BLA, $ 254.56 , $ 229.10 ,192,2.5,,6.2,,, Black ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056199,inventory,true,goods,,,,
PolePad,PolePad-Grey/2.5 in/36 in,POL-36I-2.5-GRE, $ 164.89 , $ 148.40 ,36,2.5,,1,,, Grey ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056525,inventory,true,goods,,,,
PolePad,PolePad-Grey/2.5 in/42 in,POL-42I-2.5-GRE, $ 168.34 , $ 151.51 ,42,2.5,,1.2,,, Grey ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056527,inventory,true,goods,,,,
PolePad,PolePad-Grey/2.5 in/48 in,POL-48I-2.5-GRE, $ 171.79 , $ 154.61 ,48,2.5,,1.4,,, Grey ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056529,inventory,true,goods,,,,
PolePad,PolePad-Grey/2.5 in/54 in,POL-54I-2.5-GRE, $ 175.24 , $ 157.72 ,54,2.5,,1.6,,, Grey ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056531,inventory,true,goods,,,,
PolePad,PolePad-Grey/2.5 in/60 in,POL-60I-2.5-GRE, $ 178.69 , $ 160.82 ,60,2.5,,1.8,,, Grey ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056533,inventory,true,goods,,,,
PolePad,PolePad-Grey/2.5 in/66 in,POL-66I-2.5-GRE, $ 182.14 , $ 163.93 ,66,2.5,,2,,, Grey ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056535,inventory,true,goods,,,,
PolePad,PolePad-Grey/2.5 in/72 in,POL-72I-2.5-GRE, $ 185.59 , $ 167.03 ,72,2.5,,2.2,,, Grey ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056537,inventory,true,goods,,,,
PolePad,PolePad-Grey/2.5 in/78 in,POL-78I-2.5-GRE, $ 189.03 , $ 170.13 ,78,2.5,,2.4,,, Grey ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056539,inventory,true,goods,,,,
PolePad,PolePad-Grey/2.5 in/84 in,POL-84I-2.5-GRE, $ 192.48 , $ 173.23 ,84,2.5,,2.6,,, Grey ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056541,inventory,true,goods,,,,
PolePad,PolePad-Grey/2.5 in/90 in,POL-90I-2.5-GRE, $ 195.93 , $ 176.34 ,90,2.5,,2.8,,, Grey ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056543,inventory,true,goods,,,,
PolePad,PolePad-Grey/2.5 in/102 in,POL-102-2.5-GRE, $ 202.83 , $ 182.55 ,102,2.5,,3.2,,, Grey ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056547,inventory,true,goods,,,,
PolePad,PolePad-Grey/2.5 in/108 in,POL-108-2.5-GRE, $ 206.28 , $ 185.65 ,108,2.5,,3.4,,, Grey ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056549,inventory,true,goods,,,,
PolePad,PolePad-Grey/2.5 in/114 in,POL-114-2.5-GRE, $ 209.73 , $ 188.76 ,114,2.5,,3.6,,, Grey ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056551,inventory,true,goods,,,,
PolePad,PolePad-Grey/2.5 in/120 in,POL-120-2.5-GRE, $ 213.18 , $ 191.86 ,120,2.5,,3.8,,, Grey ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056553,inventory,true,goods,,,,
PolePad,PolePad-Grey/2.5 in/126 in,POL-126-2.5-GRE, $ 216.62 , $ 194.96 ,126,2.5,,4,,, Grey ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056555,inventory,true,goods,,,,
PolePad,PolePad-Grey/2.5 in/132 in,POL-132-2.5-GRE, $ 220.07 , $ 198.06 ,132,2.5,,4.2,,, Grey ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056557,inventory,true,goods,,,,
PolePad,PolePad-Grey/2.5 in/138 in,POL-138-2.5-GRE, $ 223.52 , $ 201.17 ,138,2.5,,4.4,,, Grey ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056559,inventory,true,goods,,,,
PolePad,PolePad-Grey/2.5 in/144 in,POL-144-2.5-GRE, $ 226.97 , $ 204.27 ,144,2.5,,4.6,,, Grey ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056561,inventory,true,goods,,,,
PolePad,PolePad-Grey/2.5 in/150 in,POL-150-2.5-GRE, $ 230.42 , $ 207.38 ,150,2.5,,4.8,,, Grey ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056563,inventory,true,goods,,,,
PolePad,PolePad-Grey/2.5 in/156 in,POL-156-2.5-GRE, $ 233.87 , $ 210.48 ,156,2.5,,5,,, Grey ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056565,inventory,true,goods,,,,
PolePad,PolePad-Grey/2.5 in/162 in,POL-162-2.5-GRE, $ 237.32 , $ 213.59 ,162,2.5,,5.2,,, Grey ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056567,inventory,true,goods,,,,
PolePad,PolePad-Grey/2.5 in/168 in,POL-168-2.5-GRE, $ 240.77 , $ 216.69 ,168,2.5,,5.4,,, Grey ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056569,inventory,true,goods,,,,
PolePad,PolePad-Grey/2.5 in/174 in,POL-174-2.5-GRE, $ 244.21 , $ 219.79 ,174,2.5,,5.6,,, Grey ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056571,inventory,true,goods,,,,
PolePad,PolePad-Grey/2.5 in/180 in,POL-180-2.5-GRE, $ 247.66 , $ 222.89 ,180,2.5,,5.8,,, Grey ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056573,inventory,true,goods,,,,
PolePad,PolePad-Grey/2.5 in/186 in,POL-186-2.5-GRE, $ 251.11 , $ 226.00 ,186,2.5,,6,,, Grey ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056575,inventory,true,goods,,,,
PolePad,PolePad-Grey/2.5 in/192 in,POL-192-2.5-GRE, $ 254.56 , $ 229.10 ,192,2.5,,6.2,,, Grey ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056577,inventory,true,goods,,,,
PolePad,PolePad-Black/3 in/36 in,POL-36I-3IN-BLA, $ 170.07 , $ 153.06 ,36,3,,1,,, Black ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056201,inventory,true,goods,,,,
PolePad,PolePad-Black/3 in/42 in,POL-42I-3IN-BLA, $ 174.38 , $ 156.94 ,42,3,,1.2,,, Black ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056203,inventory,true,goods,,,,
PolePad,PolePad-Black/3 in/48 in,POL-48I-3IN-BLA, $ 178.69 , $ 160.82 ,48,3,,1.4,,, Black ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056205,inventory,true,goods,,,,
PolePad,PolePad-Black/3 in/54 in,POL-54I-3IN-BLA, $ 183.00 , $ 164.70 ,54,3,,1.6,,, Black ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056207,inventory,true,goods,,,,
PolePad,PolePad-Black/3 in/60 in,POL-60I-3IN-BLA, $ 187.31 , $ 168.58 ,60,3,,1.8,,, Black ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056209,inventory,true,goods,,,,
PolePad,PolePad-Black/3 in/66 in,POL-66I-3IN-BLA, $ 191.62 , $ 172.46 ,66,3,,2,,, Black ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056211,inventory,true,goods,,,,
PolePad,PolePad-Black/3 in/72 in,POL-72I-3IN-BLA, $ 195.93 , $ 176.34 ,72,3,,2.2,,, Black ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056213,inventory,true,goods,,,,
PolePad,PolePad-Black/3 in/78 in,POL-78I-3IN-BLA, $ 200.24 , $ 180.22 ,78,3,,2.4,,, Black ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056215,inventory,true,goods,,,,
PolePad,PolePad-Black/3 in/84 in,POL-84I-3IN-BLA, $ 204.55 , $ 184.10 ,84,3,,2.6,,, Black ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056217,inventory,true,goods,,,,
PolePad,PolePad-Black/3 in/90 in,POL-90I-3IN-BLA, $ 208.86 , $ 187.97 ,90,3,,2.8,,, Black ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056219,inventory,true,goods,,,,
PolePad,PolePad-Black/3 in/96 in,POL-96I-3IN-BLA, $ 213.18 , $ 191.86 ,96,3,,3,,, Black ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056221,inventory,true,goods,,,,
PolePad,PolePad-Black/3 in/102 in,POL-102-3IN-BLA, $ 217.49 , $ 195.74 ,102,3,,3.2,,, Black ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056223,inventory,true,goods,,,,
PolePad,PolePad-Black/3 in/108 in,POL-108-3IN-BLA, $ 221.80 , $ 199.62 ,108,3,,3.4,,, Black ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056225,inventory,true,goods,,,,
PolePad,PolePad-Black/3 in/114 in,POL-114-3IN-BLA, $ 226.11 , $ 203.50 ,114,3,,3.6,,, Black ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056227,inventory,true,goods,,,,
PolePad,PolePad-Black/3 in/120 in,POL-120-3IN-BLA, $ 230.42 , $ 207.38 ,120,3,,3.8,,, Black ," These are custom-made, ready-to-install padded covers for your boat lift’s guide poles. Made to fit loosely for easy installation and removal, yet stays put while your lift is submerged. PolePads are made to order, just provide your pole measurements and we’ll do the rest!

The Details
- No care instructions. Set it and forget it.
- Durable, UV-resistant outer shell
- Padded interior for added support
- Ships directly to your door

Best Use: Lift guide poles, trailer guide poles ", PolePad.jpg ,TRUE,,PolePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013056229,inventory,true,goods,,,,
